oblast;raion;hromada;level;started_at;finished_at
Donetska oblast;Pokrovskyi raion;Avdiivska terytorialna hromada;hromada;26.04.2022 9:39;26.04.2022 9:47
Donetska oblast;Volnovaskyi raion;;raion;26.04.2022 9:40;26.04.2022 9:47
Donetska oblast;;;oblast;26.04.2022 10:04;26.04.2022 10:24
Mykolaivska oblast;Mykolaivskyi raion;m. Mykolaiv ta Mykolaivska terytorialna hromada;hromada;26.04.2022 10:15;26.04.2022 10:44
Odeska oblast;;;oblast;26.04.2022 10:16;26.04.2022 10:38
Zaporizka oblast;;;oblast;26.04.2022 10:23;26.04.2022 11:06
Mykolaivska oblast;;;oblast;26.04.2022 10:24;26.04.2022 10:43
Donetska oblast;Volnovaskyi raion;;raion;26.04.2022 10:24;26.04.2022 10:45
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;26.04.2022 10:25;26.04.2022 10:44
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;26.04.2022 10:29;26.04.2022 10:37
Cherkaska oblast;;;oblast;26.04.2022 10:31;26.04.2022 11:09
Kirovohradska oblast;;;oblast;26.04.2022 10:31;26.04.2022 10:51
Poltavska oblast;Poltavskyi raion;m. Poltava ta Poltavska terytorialna hromada;hromada;26.04.2022 10:49;26.04.2022 11:03
Donetska oblast;;;oblast;26.04.2022 11:15;26.04.2022 12:44
Kharkivska oblast;;;oblast;26.04.2022 11:52;26.04.2022 12:47
Dnipropetrovska oblast;;;oblast;26.04.2022 13:09;26.04.2022 13:26
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;26.04.2022 13:09;26.04.2022 13:26
Zaporizka oblast;;;oblast;26.04.2022 13:10;26.04.2022 13:56
Donetska oblast;;;oblast;26.04.2022 13:16;26.04.2022 13:56
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;26.04.2022 13:22;26.04.2022 14:24
Odeska oblast;;;oblast;26.04.2022 13:25;26.04.2022 14:18
Mykolaivska oblast;Voznesenskyi raion;m. Yuzhnoukrainsk ta Yuzhnoukrainska terytorialna hromada;hromada;26.04.2022 13:26;26.04.2022 14:21
Mykolaivska oblast;;;oblast;26.04.2022 13:26;26.04.2022 14:21
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;26.04.2022 13:28;26.04.2022 14:24
Poltavska oblast;;;oblast;26.04.2022 13:32;26.04.2022 13:40
Kirovohradska oblast;;;oblast;26.04.2022 13:32;26.04.2022 13:41
Kharkivska oblast;;;oblast;26.04.2022 13:37;26.04.2022 14:16
Cherkaska oblast;Umanskyi raion;Umanska terytorialna hromada;hromada;26.04.2022 13:39;26.04.2022 13:42
Donetska oblast;;;oblast;26.04.2022 14:12;26.04.2022 14:48
Zaporizka oblast;;;oblast;26.04.2022 14:21;26.04.2022 14:54
Dnipropetrovska oblast;;;oblast;26.04.2022 14:22;26.04.2022 14:42
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;26.04.2022 14:22;26.04.2022 14:43
Dnipropetrovska oblast;;;oblast;26.04.2022 15:28;26.04.2022 15:36
Poltavska oblast;;;oblast;26.04.2022 15:29;26.04.2022 16:19
Kirovohradska oblast;;;oblast;26.04.2022 15:29;26.04.2022 16:19
Cherkaska oblast;;;oblast;26.04.2022 15:29;26.04.2022 16:18
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;26.04.2022 15:29;26.04.2022 15:37
Mykolaivska oblast;;;oblast;26.04.2022 15:30;26.04.2022 16:21
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;26.04.2022 15:31;26.04.2022 16:21
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;26.04.2022 15:31;26.04.2022 16:21
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;26.04.2022 15:32;26.04.2022 16:21
Donetska oblast;;;oblast;26.04.2022 16:13;26.04.2022 16:21
Zhytomyrska oblast;;;oblast;26.04.2022 16:16;26.04.2022 16:16
Donetska oblast;Kramatorskyi raion;;raion;26.04.2022 16:52;26.04.2022 17:28
Kharkivska oblast;;;oblast;26.04.2022 16:52;26.04.2022 17:27
Kharkivska oblast;;;oblast;26.04.2022 17:28;26.04.2022 17:34
Donetska oblast;;;oblast;26.04.2022 17:31;26.04.2022 17:54
Kharkivska oblast;Kharkivskyi raion;;raion;26.04.2022 18:04;26.04.2022 18:24
Kharkivska oblast;;;oblast;26.04.2022 18:04;26.04.2022 18:24
Donetska oblast;;;oblast;26.04.2022 18:24;26.04.2022 18:39
Donetska oblast;Volnovaskyi raion;Velykonovosilkivska terytorialna hromada;hromada;26.04.2022 19:35;26.04.2022 19:53
Donetska oblast;Volnovaskyi raion;Vuhledarska terytorialna hromada;hromada;26.04.2022 19:35;26.04.2022 19:53
Zaporizka oblast;;;oblast;26.04.2022 19:38;26.04.2022 19:56
Kharkivska oblast;;;oblast;26.04.2022 19:44;26.04.2022 19:56
Kirovohradska oblast;;;oblast;26.04.2022 20:59;26.04.2022 21:16
Donetska oblast;;;oblast;26.04.2022 20:59;26.04.2022 21:16
Zaporizka oblast;;;oblast;26.04.2022 21:01;26.04.2022 21:20
Dnipropetrovska oblast;;;oblast;26.04.2022 21:02;26.04.2022 21:19
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;26.04.2022 21:02;26.04.2022 21:19
Cherkaska oblast;Umanskyi raion;;raion;26.04.2022 21:24;26.04.2022 21:51
Cherkaska oblast;Umanskyi raion;Umanska terytorialna hromada;hromada;26.04.2022 21:28;26.04.2022 21:51
Kharkivska oblast;;;oblast;26.04.2022 21:32;26.04.2022 23:08
Donetska oblast;;;oblast;26.04.2022 21:32;26.04.2022 22:07
Poltavska oblast;;;oblast;26.04.2022 21:32;26.04.2022 23:28
Dnipropetrovska oblast;;;oblast;26.04.2022 21:32;26.04.2022 23:26
Zaporizka oblast;;;oblast;26.04.2022 21:33;26.04.2022 23:30
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;26.04.2022 21:33;26.04.2022 23:27
Sumska oblast;;;oblast;26.04.2022 21:38;26.04.2022 23:34
Dnipropetrovska oblast;;;oblast;27.04.2022 1:07;27.04.2022 1:33
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;27.04.2022 1:09;27.04.2022 1:33
Poltavska oblast;;;oblast;27.04.2022 1:09;27.04.2022 1:34
Zaporizka oblast;;;oblast;27.04.2022 1:10;27.04.2022 1:36
Donetska oblast;;;oblast;27.04.2022 1:38;27.04.2022 2:09
Poltavska oblast;;;oblast;27.04.2022 4:09;27.04.2022 4:36
Poltavska oblast;Poltavskyi raion;m. Poltava ta Poltavska terytorialna hromada;hromada;27.04.2022 4:54;27.04.2022 5:23
Poltavska oblast;;;oblast;27.04.2022 6:18;27.04.2022 6:40
Zaporizka oblast;;;oblast;27.04.2022 6:40;27.04.2022 7:03
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;27.04.2022 6:41;27.04.2022 7:03
Dnipropetrovska oblast;;;oblast;27.04.2022 6:41;27.04.2022 7:02
Kharkivska oblast;Iziumskyi raion;m. Izium ta Iziumska terytorialna hromada;hromada;27.04.2022 8:30;27.04.2022 9:01
Dnipropetrovska oblast;;;oblast;27.04.2022 8:30;27.04.2022 9:03
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;27.04.2022 8:31;27.04.2022 9:04
Zaporizka oblast;;;oblast;27.04.2022 8:32;27.04.2022 9:02
Kharkivska oblast;;;oblast;27.04.2022 8:35;27.04.2022 9:03
Poltavska oblast;;;oblast;27.04.2022 9:06;27.04.2022 9:29
Donetska oblast;Volnovaskyi raion;;raion;27.04.2022 9:42;27.04.2022 11:30
Donetska oblast;Pokrovskyi raion;Kurakhivska terytorialna hromada;hromada;27.04.2022 9:42;27.04.2022 11:31
Donetska oblast;Bakhmutskyi raion;Soledarska terytorialna hromada;hromada;27.04.2022 9:55;27.04.2022 11:30
Donetska oblast;Bakhmutskyi raion;Bakhmutska terytorialna hromada;hromada;27.04.2022 9:56;27.04.2022 11:30
Donetska oblast;Pokrovskyi raion;;raion;27.04.2022 10:14;27.04.2022 11:30
Kyiv;;;oblast;27.04.2022 10:17;27.04.2022 10:41
Kyivska oblast;;;oblast;27.04.2022 10:22;27.04.2022 10:43
Donetska oblast;Bakhmutskyi raion;Toretska terytorialna hromada;hromada;27.04.2022 10:24;27.04.2022 11:30
Donetska oblast;Kramatorskyi raion;Sviatohirska terytorialna hromada;hromada;27.04.2022 10:46;27.04.2022 11:30
Donetska oblast;Kramatorskyi raion;Lymanska terytorialna hromada;hromada;27.04.2022 10:46;27.04.2022 11:30
Kharkivska oblast;;;oblast;27.04.2022 10:49;27.04.2022 11:45
Volynska oblast;;;oblast;27.04.2022 11:15;27.04.2022 11:39
Ivano-Frankivska oblast;;;oblast;27.04.2022 11:15;27.04.2022 11:41
Cherkaska oblast;;;oblast;27.04.2022 11:15;27.04.2022 11:41
Kirovohradska oblast;;;oblast;27.04.2022 11:16;27.04.2022 11:41
Mykolaivska oblast;;;oblast;27.04.2022 11:16;27.04.2022 11:44
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;27.04.2022 11:16;27.04.2022 11:42
Rivnenska oblast;;;oblast;27.04.2022 11:16;27.04.2022 11:39
Lvivska oblast;;;oblast;27.04.2022 11:16;27.04.2022 11:40
Odeska oblast;;;oblast;27.04.2022 11:16;27.04.2022 11:42
Vinnytska oblast;;;oblast;27.04.2022 11:16;27.04.2022 11:40
Khmelnytska oblast;;;oblast;27.04.2022 11:16;27.04.2022 11:41
Ternopilska oblast;;;oblast;27.04.2022 11:19;27.04.2022 11:42
Zakarpatska oblast;;;oblast;27.04.2022 11:20;27.04.2022 11:49
Chernivetska oblast;;;oblast;27.04.2022 11:20;27.04.2022 11:47
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;27.04.2022 11:20;27.04.2022 11:44
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;27.04.2022 11:21;27.04.2022 11:44
Donetska oblast;Kramatorskyi raion;;raion;27.04.2022 11:52;27.04.2022 12:20
Donetska oblast;;;oblast;27.04.2022 11:53;27.04.2022 12:20
Donetska oblast;Kramatorskyi raion;;raion;27.04.2022 13:51;27.04.2022 14:20
Donetska oblast;;;oblast;27.04.2022 13:53;27.04.2022 14:23
Kharkivska oblast;;;oblast;27.04.2022 13:57;27.04.2022 14:11
Poltavska oblast;;;oblast;27.04.2022 14:29;27.04.2022 15:17
Sumska oblast;;;oblast;27.04.2022 14:37;27.04.2022 16:16
Donetska oblast;;;oblast;27.04.2022 14:40;27.04.2022 15:31
Dnipropetrovska oblast;;;oblast;27.04.2022 15:20;27.04.2022 15:43
Zaporizka oblast;;;oblast;27.04.2022 15:20;27.04.2022 15:45
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;27.04.2022 15:20;27.04.2022 15:44
Poltavska oblast;;;oblast;27.04.2022 15:35;27.04.2022 15:45
Kharkivska oblast;;;oblast;27.04.2022 16:17;27.04.2022 16:40
Donetska oblast;;;oblast;27.04.2022 16:17;27.04.2022 16:40
Dnipropetrovska oblast;;;oblast;27.04.2022 18:33;27.04.2022 18:50
Zaporizka oblast;;;oblast;27.04.2022 18:34;27.04.2022 19:29
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;27.04.2022 18:34;27.04.2022 18:50
Donetska oblast;Kramatorskyi raion;;raion;27.04.2022 18:48;27.04.2022 19:16
Kharkivska oblast;;;oblast;27.04.2022 18:50;27.04.2022 19:32
Donetska oblast;Bakhmutskyi raion;;raion;27.04.2022 18:51;27.04.2022 21:35
Donetska oblast;Pokrovskyi raion;;raion;27.04.2022 18:59;27.04.2022 21:35
Kyiv;;;oblast;27.04.2022 19:14;27.04.2022 19:41
Chernihivska oblast;;;oblast;27.04.2022 19:15;27.04.2022 19:43
Kyivska oblast;;;oblast;27.04.2022 19:15;27.04.2022 19:42
Poltavska oblast;;;oblast;27.04.2022 20:20;27.04.2022 20:36
Kirovohradska oblast;;;oblast;27.04.2022 20:20;27.04.2022 20:35
Cherkaska oblast;;;oblast;27.04.2022 20:21;27.04.2022 20:33
Dnipropetrovska oblast;;;oblast;27.04.2022 20:27;27.04.2022 20:41
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;27.04.2022 20:29;27.04.2022 20:41
Kharkivska oblast;;;oblast;27.04.2022 21:30;27.04.2022 22:29
Donetska oblast;;;oblast;27.04.2022 22:22;27.04.2022 23:15
Donetska oblast;;;oblast;27.04.2022 23:35;28.04.2022 0:35
Kyiv;;;oblast;28.04.2022 1:54;28.04.2022 2:32
Kyivska oblast;;;oblast;28.04.2022 1:57;28.04.2022 2:32
Poltavska oblast;;;oblast;28.04.2022 2:05;28.04.2022 2:32
Cherkaska oblast;;;oblast;28.04.2022 2:06;28.04.2022 2:32
Kirovohradska oblast;;;oblast;28.04.2022 2:06;28.04.2022 2:32
Zhytomyrska oblast;;;oblast;28.04.2022 2:07;28.04.2022 2:32
Donetska oblast;Kramatorskyi raion;;raion;28.04.2022 2:20;28.04.2022 2:46
Donetska oblast;;;oblast;28.04.2022 2:23;28.04.2022 2:46
Kharkivska oblast;;;oblast;28.04.2022 2:56;28.04.2022 3:50
Donetska oblast;;;oblast;28.04.2022 2:57;28.04.2022 3:53
Kharkivska oblast;;;oblast;28.04.2022 5:03;28.04.2022 6:50
Donetska oblast;;;oblast;28.04.2022 5:05;28.04.2022 5:38
Donetska oblast;;;oblast;28.04.2022 5:53;28.04.2022 6:52
Dnipropetrovska oblast;Pavlohradskyi raion;;raion;28.04.2022 6:08;28.04.2022 6:50
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;28.04.2022 6:10;28.04.2022 6:10
Dnipropetrovska oblast;;;oblast;28.04.2022 8:18;28.04.2022 8:34
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;28.04.2022 8:19;28.04.2022 8:40
Zaporizka oblast;;;oblast;28.04.2022 8:19;28.04.2022 8:35
Cherkaska oblast;;;oblast;28.04.2022 8:31;28.04.2022 9:06
Kirovohradska oblast;;;oblast;28.04.2022 8:31;28.04.2022 9:06
Kyiv;;;oblast;28.04.2022 8:37;28.04.2022 9:05
Kyivska oblast;;;oblast;28.04.2022 8:39;28.04.2022 9:06
Poltavska oblast;Kremenchutskyi raion;m. Kremenchuk ta Kremenchutska terytorialna hromada;hromada;28.04.2022 9:04;28.04.2022 9:19
Donetska oblast;Volnovaskyi raion;Velykonovosilkivska terytorialna hromada;hromada;28.04.2022 9:41;28.04.2022 11:02
Zaporizka oblast;;;oblast;28.04.2022 9:44;28.04.2022 10:25
Dnipropetrovska oblast;;;oblast;28.04.2022 9:58;28.04.2022 10:21
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;28.04.2022 9:59;28.04.2022 10:22
Donetska oblast;Kramatorskyi raion;Lymanska terytorialna hromada;hromada;28.04.2022 10:17;28.04.2022 10:19
Donetska oblast;Bakhmutskyi raion;;raion;28.04.2022 10:19;28.04.2022 11:02
Donetska oblast;Horlivskyi raion;;raion;28.04.2022 10:19;28.04.2022 10:20
Donetska oblast;Kramatorskyi raion;;raion;28.04.2022 10:20;28.04.2022 11:02
Kharkivska oblast;;;oblast;28.04.2022 10:21;28.04.2022 11:55
Odeska oblast;;;oblast;28.04.2022 11:05;28.04.2022 11:39
Mykolaivska oblast;;;oblast;28.04.2022 11:09;28.04.2022 12:00
Mykolaivska oblast;Mykolaivskyi raion;m. Mykolaiv ta Mykolaivska terytorialna hromada;hromada;28.04.2022 11:09;28.04.2022 12:00
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;28.04.2022 11:10;28.04.2022 11:31
Mykolaivska oblast;Voznesenskyi raion;m. Yuzhnoukrainsk ta Yuzhnoukrainska terytorialna hromada;hromada;28.04.2022 11:12;28.04.2022 12:00
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;28.04.2022 11:12;28.04.2022 11:31
Kharkivska oblast;Kharkivskyi raion;;raion;28.04.2022 11:21;28.04.2022 11:55
Donetska oblast;Kramatorskyi raion;;raion;28.04.2022 11:24;28.04.2022 11:44
Kharkivska oblast;Iziumskyi raion;;raion;28.04.2022 11:55;28.04.2022 11:55
Donetska oblast;Kramatorskyi raion;;raion;28.04.2022 12:25;28.04.2022 12:42
Kharkivska oblast;;;oblast;28.04.2022 12:30;28.04.2022 13:03
Donetska oblast;Kramatorskyi raion;Lymanska terytorialna hromada;hromada;28.04.2022 13:21;28.04.2022 13:42
Donetska oblast;Kramatorskyi raion;;raion;28.04.2022 14:09;28.04.2022 15:18
Dnipropetrovska oblast;;;oblast;28.04.2022 14:15;28.04.2022 14:32
Donetska oblast;;;oblast;28.04.2022 14:15;28.04.2022 15:18
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;28.04.2022 14:15;28.04.2022 14:33
Donetska oblast;;;oblast;28.04.2022 16:49;28.04.2022 17:02
Sumska oblast;;;oblast;28.04.2022 18:49;28.04.2022 22:05
Donetska oblast;;;oblast;28.04.2022 18:53;28.04.2022 21:54
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;28.04.2022 18:54;28.04.2022 22:09
Odeska oblast;;;oblast;28.04.2022 18:56;28.04.2022 22:07
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;28.04.2022 18:57;29.04.2022 4:55
Mykolaivska oblast;Mykolaivskyi raion;m. Mykolaiv ta Mykolaivska terytorialna hromada;hromada;28.04.2022 18:58;28.04.2022 22:06
Mykolaivska oblast;;;oblast;28.04.2022 18:58;28.04.2022 22:06
Mykolaivska oblast;Voznesenskyi raion;m. Yuzhnoukrainsk ta Yuzhnoukrainska terytorialna hromada;hromada;28.04.2022 18:59;28.04.2022 22:07
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;28.04.2022 18:59;28.04.2022 22:05
Dnipropetrovska oblast;;;oblast;28.04.2022 19:14;28.04.2022 22:03
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;28.04.2022 19:15;28.04.2022 22:03
Zaporizka oblast;;;oblast;28.04.2022 19:15;28.04.2022 22:05
Poltavska oblast;;;oblast;28.04.2022 19:17;28.04.2022 22:04
Kyiv;;;oblast;28.04.2022 19:22;28.04.2022 22:18
Zhytomyrska oblast;;;oblast;28.04.2022 19:23;28.04.2022 22:19
Kyivska oblast;;;oblast;28.04.2022 19:24;28.04.2022 22:19
Chernihivska oblast;;;oblast;28.04.2022 19:25;28.04.2022 22:19
Cherkaska oblast;;;oblast;28.04.2022 19:26;28.04.2022 22:19
Kirovohradska oblast;;;oblast;28.04.2022 19:27;28.04.2022 22:20
Kharkivska oblast;Chuhuivskyi raion;;raion;28.04.2022 19:29;28.04.2022 22:05
Kharkivska oblast;;;oblast;28.04.2022 19:29;28.04.2022 22:05
Ivano-Frankivska oblast;;;oblast;28.04.2022 19:49;28.04.2022 22:17
Vinnytska oblast;;;oblast;28.04.2022 19:49;28.04.2022 22:16
Lvivska oblast;;;oblast;28.04.2022 19:50;28.04.2022 22:18
Khmelnytska oblast;;;oblast;28.04.2022 19:50;28.04.2022 22:17
Volynska oblast;;;oblast;28.04.2022 19:50;28.04.2022 22:19
Rivnenska oblast;;;oblast;28.04.2022 19:52;28.04.2022 22:19
Ternopilska oblast;;;oblast;28.04.2022 19:53;28.04.2022 22:21
Donetska oblast;;;oblast;29.04.2022 3:00;29.04.2022 3:57
Zaporizka oblast;;;oblast;29.04.2022 3:04;29.04.2022 3:56
Donetska oblast;Kramatorskyi raion;;raion;29.04.2022 6:33;29.04.2022 7:06
Dnipropetrovska oblast;;;oblast;29.04.2022 6:59;29.04.2022 7:18
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;29.04.2022 7:00;29.04.2022 7:18
Kharkivska oblast;;;oblast;29.04.2022 7:01;29.04.2022 7:19
Chernihivska oblast;;;oblast;29.04.2022 8:50;29.04.2022 9:18
Kyivska oblast;;;oblast;29.04.2022 8:51;29.04.2022 9:18
Kyiv;;;oblast;29.04.2022 8:51;29.04.2022 9:16
Sumska oblast;Konotopskyi raion;;raion;29.04.2022 8:54;29.04.2022 9:19
Kharkivska oblast;;;oblast;29.04.2022 9:50;29.04.2022 10:39
Donetska oblast;;;oblast;29.04.2022 9:50;29.04.2022 10:24
Donetska oblast;Pokrovskyi raion;Avdiivska terytorialna hromada;hromada;29.04.2022 10:42;29.04.2022 10:58
Donetska oblast;Pokrovskyi raion;Kurakhivska terytorialna hromada;hromada;29.04.2022 10:42;29.04.2022 10:58
Poltavska oblast;;;oblast;29.04.2022 11:48;29.04.2022 12:18
Zaporizka oblast;;;oblast;29.04.2022 11:49;29.04.2022 12:19
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;29.04.2022 11:50;29.04.2022 12:17
Dnipropetrovska oblast;;;oblast;29.04.2022 11:50;29.04.2022 12:17
Donetska oblast;;;oblast;29.04.2022 11:50;29.04.2022 12:18
Kharkivska oblast;;;oblast;29.04.2022 11:52;29.04.2022 14:48
Poltavska oblast;;;oblast;29.04.2022 13:17;29.04.2022 13:47
Zaporizka oblast;;;oblast;29.04.2022 13:17;29.04.2022 13:48
Odeska oblast;;;oblast;29.04.2022 13:17;29.04.2022 13:52
Dnipropetrovska oblast;;;oblast;29.04.2022 13:18;29.04.2022 13:44
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;29.04.2022 13:19;29.04.2022 13:45
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;29.04.2022 13:19;29.04.2022 13:49
Mykolaivska oblast;;;oblast;29.04.2022 13:20;29.04.2022 14:06
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;29.04.2022 13:21;29.04.2022 13:56
Donetska oblast;;;oblast;29.04.2022 13:21;29.04.2022 13:48
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;29.04.2022 13:21;29.04.2022 13:57
Mykolaivska oblast;Voznesenskyi raion;m. Yuzhnoukrainsk ta Yuzhnoukrainska terytorialna hromada;hromada;29.04.2022 13:22;29.04.2022 14:06
Kharkivska oblast;Kharkivskyi raion;;raion;29.04.2022 13:31;29.04.2022 14:48
Kharkivska oblast;Lozivskyi raion;;raion;29.04.2022 13:31;29.04.2022 14:48
Kharkivska oblast;Krasnohradskyi raion;;raion;29.04.2022 13:31;29.04.2022 14:48
Donetska oblast;;;oblast;29.04.2022 14:41;29.04.2022 16:08
Kharkivska oblast;;;oblast;29.04.2022 15:55;29.04.2022 16:15
Kharkivska oblast;;;oblast;29.04.2022 17:17;29.04.2022 18:02
Donetska oblast;;;oblast;29.04.2022 17:18;29.04.2022 18:03
Kharkivska oblast;;;oblast;29.04.2022 18:15;29.04.2022 18:46
Donetska oblast;Kramatorskyi raion;;raion;29.04.2022 18:18;29.04.2022 18:45
Donetska oblast;Bakhmutskyi raion;;raion;29.04.2022 18:18;29.04.2022 18:48
Donetska oblast;Pokrovskyi raion;;raion;29.04.2022 18:18;29.04.2022 18:48
Donetska oblast;Volnovaskyi raion;;raion;29.04.2022 18:19;29.04.2022 18:48
Dnipropetrovska oblast;;;oblast;29.04.2022 19:26;29.04.2022 19:33
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;29.04.2022 19:27;29.04.2022 19:34
Zaporizka oblast;;;oblast;29.04.2022 19:32;29.04.2022 19:45
Kyiv;;;oblast;29.04.2022 23:41;30.04.2022 0:36
Cherkaska oblast;;;oblast;29.04.2022 23:42;30.04.2022 0:36
Zhytomyrska oblast;;;oblast;29.04.2022 23:42;30.04.2022 0:37
Kyivska oblast;;;oblast;29.04.2022 23:43;30.04.2022 0:38
Kirovohradska oblast;;;oblast;29.04.2022 23:43;30.04.2022 0:37
Poltavska oblast;;;oblast;30.04.2022 0:10;30.04.2022 0:37
Chernihivska oblast;;;oblast;30.04.2022 0:18;30.04.2022 0:38
Sumska oblast;;;oblast;30.04.2022 0:22;30.04.2022 0:40
Ivano-Frankivska oblast;;;oblast;30.04.2022 0:24;30.04.2022 0:34
Khmelnytska oblast;;;oblast;30.04.2022 0:24;30.04.2022 0:34
Volynska oblast;;;oblast;30.04.2022 0:25;30.04.2022 0:31
Rivnenska oblast;;;oblast;30.04.2022 0:25;30.04.2022 0:35
Zakarpatska oblast;;;oblast;30.04.2022 0:26;30.04.2022 0:36
Lvivska oblast;;;oblast;30.04.2022 0:26;30.04.2022 0:37
Chernivetska oblast;;;oblast;30.04.2022 0:26;30.04.2022 0:39
Ternopilska oblast;;;oblast;30.04.2022 0:27;30.04.2022 0:38
Volynska oblast;;;oblast;30.04.2022 0:33;30.04.2022 0:34
Donetska oblast;Pokrovskyi raion;Dobropilska terytorialna hromada;hromada;30.04.2022 3:07;30.04.2022 4:50
Donetska oblast;;;oblast;30.04.2022 6:37;30.04.2022 7:14
Donetska oblast;Volnovaskyi raion;Velykonovosilkivska terytorialna hromada;hromada;30.04.2022 7:51;30.04.2022 8:54
Donetska oblast;;;oblast;30.04.2022 8:44;30.04.2022 8:54
Donetska oblast;Kramatorskyi raion;Lymanska terytorialna hromada;hromada;30.04.2022 10:09;30.04.2022 10:28
Donetska oblast;;;oblast;30.04.2022 10:09;30.04.2022 10:28
Dnipropetrovska oblast;;;oblast;30.04.2022 10:20;30.04.2022 10:36
Kharkivska oblast;;;oblast;30.04.2022 10:22;30.04.2022 11:12
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;30.04.2022 10:24;30.04.2022 10:42
Donetska oblast;Volnovaskyi raion;Velykonovosilkivska terytorialna hromada;hromada;30.04.2022 11:00;30.04.2022 12:34
Kharkivska oblast;;;oblast;30.04.2022 11:48;30.04.2022 12:31
Donetska oblast;Kramatorskyi raion;;raion;30.04.2022 11:59;30.04.2022 12:34
Dnipropetrovska oblast;;;oblast;30.04.2022 11:59;30.04.2022 12:11
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;30.04.2022 12:00;30.04.2022 12:11
Zaporizka oblast;;;oblast;30.04.2022 12:01;30.04.2022 12:14
